Japanese,Vietnamese
彼はすべてを明らかにして潔く責任を取るべきです。,anh ấy nên làm rõ mọi chuyện và nhận trách nhiệm như một người đàn ông .
私はたいてい夕方シャワーを浴びます。,tôi thường tắm vào buổi tối .
宇宙でどうやって食べ物をみつけるの？,làm sao để tìm được thức ăn khi đang ở ngoài không gian ?
私は動物園へ行った。,tôi đã tới vườn thú .
彼は私を好きになったと告白した。,anh ấy đã thổ lộ là thích tôi .
それは、彼や他の科学者達が何を行っているのかを知りたい人たちのためのものであった。,cái đó là để cho những người muốn biết anh ta và những nhà khoa học khác đang làm gì .
その外国人はまるで母語のように日本語を話した。,người ngoại đó nói tiếng Nhật như là tiếng mẹ đẻ của mình .
知らない。,tôi không biết .
心はあなたと共に居ます。,tôi sẽ đồng tâm với bạn .
彼はロンドンの貧しい地区に住んでいる。,anh ấy sống ở một khu nghèo của London .
ちょっと休みたい。,tôi muốn nghỉ một lúc .
私の弟はギターが上手です。,em trai tôi chơi ghi - ta rất giỏi .
約束の時間に遅れた。,trễ giờ hẹn rồi .
君はすぐにかかりつけの医者にみてもらったほうがいい。,bạn nên gặp bác sĩ tư ngay lập tức .
彼女はたぶん明日来るでしょう。,cô ấy chắc mai sẽ tới .
私は私の愛の予言を告げる星座たちの光の数を数えた。,tôi đếm tia sáng những chòm sao như một lời tiên đoán cho tình yêu của mình .
僕はすごく太ってる。,tôi mập quá .
いや、全然。,"không , không phải toàn bộ ."
２、３ページの英語を訳すのに２時間以上もかかりました。,tôi tốn hơn hai tiếng để dịch vài trang tiếng Anh .
私はもっと自立したいと思っている。,tôi muốn tự lập hơn .
多くの人が日常のことについて文を書く。,phần nhiều người ta viết về chuyện cuộc đời hàng ngày .
彼は仕事中に事故にあった。,anh ta gặp tai nạn trong khi làm việc
今日の午後三時に彼女と会うことになっている。,tôi đã hẹn gặp cô ấy lúc ba giờ chiều nay .
何かを証明しようとする場合、それが真実であるという確信を持つことは何らかの手助けになる。,nếu muốn chứng minh điều gì thì trước hết phải biết là nó đúng đã .
何してるの？,bạn đang làm gì đây ?
天然自然が荒らされていくのは残念なことだ。,lãng phí tài nguyên thiên nhiên lá một việc làm thật xấu hổ .
ちょっと・・・なに通せんぼやってんのよ。,này ! bạn đang làm con đường bị tắc nghẽn đấy !
コーラを飲んだら舌がぴりぴりした。,uống coca làm lưỡi tôi rát hết cả .
アメリカでは多くの人が家の回りにフェンスをめぐらせている。,ở Mỹ có nhiều nhà có hàng rào xung quanh .
彼女は料理がうまいそうだ。,nghe nói anh ta nấu ăn khá ngon .
でもあなたは私に言ってくれなかったでしょ！,nhưng bạn chưa nói tôi về chuyện này mà !
知らないってどういうこと？！,ý cậu là cậu không biết hả ? !
全然部屋に似合わないけど、貰ったから良し！,"đúng là nó không hợp với căn phòng , nhưng miễn phí nên lấy cũng không sao ."
私は動物園に行った。,tôi đã tới vườn thú .
遅すぎる。,muộn quá .
すぐに戻ります。,tôi trở lại mau .
こんな無意味な口論は、直ちにやめにしよう。,chúng ta nên dừng cuộc tranh cãi vô nghĩa này .
私の兄は技師になった。,anh tôi đã trở thành một kỹ sư .
盗みをするよりも飢え死にした方がましだ。,tôi thà chết còn hơn ăn cắp .
すこし待つのは気になさいますか。,bạn có thấy phiền không nếu phải chờ một vài phút ?
彼女はどうしても自分の思い通りにしようとする。,cô ta nhất định phải làm theo ý mình .
『危険な関係』を読んだことがありますか？,"bạn đã từng đọc "" Kiken na kankei "" chưa ?"
バカな質問があるんだ。,tôi cần hỏi một câu hỏi ngớ ngẩn .
どうして雪が白い色ですか。,tại sao tuyết có màu trắng ?
急いで！,mau lên !
学校は家から遠いの？,trường bạn có ở xa nhà không ?
雪が降る。,tuyết rơi .
おたふく風邪ではないでしょうか。,tôi sợ là cô bé bị quai bị rồi .
英語は３時間目だ。,anh văn là tiết thứ 3 .
彼女 に待って いる,tôi đang đợi bạn gái của tôi .
その建物は三年前に崩壊した。,Tòa nhà đó sập đổ 3 năm trước .
男性が一家の主と言うことはアメリカ社会に当てはまる。,"trong xã hội Mỹ , đàn ông là trụ cột gia đình ."
これでさらに困ったことになるだろう。,thế này thì lại càng thêm lo .
女の子は男の子より早熟だ。,con gái thì lớn nhanh hơn con trai .
この町の考え方は腐っている。,cách suy nghĩ của con người nơi làng quê này là cổ hủ .
日本の家は小さい。,nhà ở Nhật nhỏ .
やらなければならない事がありすぎる！,có nhiều thứ để làm quá !
親友は何人いる？,bạn có bao nhiêu bạn thân ?
あ！蝶々がいる！,"ô kìa , con bươm bướm !"
ホワイト氏にはたくさん友達がいるようです。,ông White có vẻ có nhiều bạn .
嵐になりそうです。,sắp có một cơn bão .
電子工学にいくつかの新しい発見が見られる。,có thể thấy một vài phát kiến mới trong kỹ thuật điện .
彼らは物質的にも精神的にも彼を支えた。,họ đã hỗ trợ cho ông cả vật chất lẫn tinh thần .
まだ晴れている間に洗濯をしなければなりません。,tôi phải giặt đồ trong khi trời còn nắng .
これは雨に濃いではないのだろうか？,không phải là có mưa thì trời sẽ tối à ?
多くの外国人が歌舞伎の良さがわかります。,nhiều người nước ngoài có thể đánh giá cao Kabuki .
彼は銀行で働いています。,tôi đang làm việc ở ngân hàng .
会社の帳簿を付けるのに２、３日かかります。,tôi đã phải mất nhiều ngày để quyết toán sổ sách của công ty .
「実を言うと、俺、高所恐怖症なんだ。」　「臆病者っ！」," nói thật là tôi rất là sợ độ cao .  "" bạn nhát quá ! """
彼以外は皆ここにいる。,mọi người đều có mặt trừ anh ta .
私は女だ。,mình là con gái .
第２次世界大戦のとき、ドイツのナチスはアウシュビッツ強制収容所でたくさんの人を殺しました。,"vào Thế chiến thứ 2 , Phát xít Đức đã sát hại rất nhiều người ở trại tập trung Auschwitz ."
席は全部ふさがっている。,tất cả chỗ ngồi đều đã có người .
彼女は背が低すぎて塀の向こうがみえなかった。,cô ta quá lùn nên không nhìn qua hàng rào được .
この本はとてもやさしいので子供でも読める。,bởi vì cuốn sách này rất dễ cho nên ngay cả trẻ con cũng có thể đọc được .
彼女はこの村に住んでいます。,cô ta sống ở làng này .
人間は考えたりしゃべったりできるという点で動物と異なる。,"con người có thể làm những việc như suy nghĩ và nói chuyện , nên khác với động vật ."
夕べ彼女が来ていたらなあ。,giá mà tối nay cô ấy đến .
「これ、プレゼント」「え、私に？ ありがとう！」," đây , quà này  - "" Hả , cho tớ à ? cám ơn nhé ! """
私は彼のフランス語を日本語に通訳した。,tôi thông dịch những lời anh ta nói từ tiếng Pháp sang tiếng Nhật .
「ありがとうご座います」「どう致しまして」," cám ơn .  "" không có chi . """
君が私を愛しているよりもおおく私は君を愛している。,anh yêu em hơn em yêu anh .
彼はヨットで太平洋を横断した。,anh ta vượt qua Thái Bình Dương bằng một con thuyền buồm .
彼女はとてもあっさりした性格だ。,tính cách cô ấy rất cởi mở .
ここで予約をしてもらえますか。,tôi có thể đặt chỗ trước ở đây không ?
コーヒー飲みますか。,anh uống cà phê không ?
ワードプロセッサーの使い方を知っていますか。,bạn có biết cách sử dụng phần mềm soạn thảo văn bản không ?
アメリカの警官は青い制服を着ている。,cảnh sát Mỹ mặc đồng phục màu xanh da trời .
彼は彼の人生の話を私にしてくれた。,anh ấy nói với tôi chuyện đời của anh .
それは僕自身でやりたい。,tôi muốn tự mình làm chuyện đó .
彼らが先週忙しかったですか。,tuần trước họ bận à ?
今日の数学はいつもより楽しかった。,giờ học Số học hôm nay thú vị hơn mọi ngày .
違うよ、新しい彼じゃない。,"không , anh ấy không phải bạn trai mới của tôi ."
私のは６時の飛行機です。,chuyến bay của tôi sẽ khởi hành lúc 6 giờ .
次に何をしましょうか。,tiếp theo tôi phải làm gì ?
そういうものなんです。,từ xưa đến giờ đả luôn luôn như vậy rồi .
起きて！,dậy đi !
そんなことは嫌いだ。,tôi ghét những thứ đó .
私は注目を集めたかったわけではない。,không phải là tôi đã muốn thu hút sự chú ý .
「信用して」と彼は言った。," tin tôi đi ,  anh ấy nói ."
このシステムには、保護回路が組み込まれています。,"với hệ thống này , mạch bảo vệ đã được thiết kế tích hợp bên trong ."
決して学ぶのに遅すぎるということはない。,không bao giờ trễ quá để học hỏi .
靴が小さすぎるから新しいのを買う必要があるな。,"giày của tôi bé quá , tôi cần đôi mới ."
外は真っ暗だ。,bên ngoài trời rất tối .
この仕事をしない方がいいよ。,công việc này bạn đừng làm thì hơn .
わたし達はたくさん歩きました。,chúng tôi đã đi bộ rất nhiều .
学校は８時半から始まる。,giờ học bắt đầu lúc 8 giờ .
龍は空想の動物だ。,rồng là động vật không tưởng .
私はそのような美しい女の子を一度も見たことがありませんでした。,tôi chưa từng gặp một cô bé nào xinh đẹp như vậy cả .
雨は間もなくやむでしょう。,sẽ tạnh mưa sớm thôi .
それを建てるのに何年もかかった。,người ta đã mất nhiều năm để xây nó .
値段は決して高くない。,giá cả chưa bao giờ đắt cả .
嵐になりそうです。,một cơn bão sắp đến .
分かりません。,tôi không hiểu .
冗談はやめて。,đừng đùa nữa .
知らない。,không biết .
どのカップがあなたのですか。,cái tách nào là của bạn ?
最初着る前に洗濯してください。,giặt trước khi mặc lần đầu .
知らないってどういうこと？！,ý cậu là cậu không biết hả ? !
何と言ったら良いか分かりません。,tôi hết lời để nói .
子供達の教育にはかなりの額がかかった。,tôi đã khá tốn tiền học cho bọn trẻ .
彼女はピアノを弾くのがあまり上手ではありません。,chị ấy chơi piano không thật thành thạo .
彼はヨットで太平洋を横断した。,anh ta vượt qua Thái Bình Dương bằng một con thuyền buồm .
あの方が言われる事を、何でもしてあげて下さい。,tốt nhất là hãy làm theo mọi thứ anh ấy nói với bạn .
我慢してください。時間がかかります。,"làm ơn kiên nhẫn một chút đi , cái này phải tốn thì giờ ."
私はこれが好きです。,mình thích cái này .
彼女はたぶん明日来るでしょう。,cô ấy chắc mai sẽ tới .
「久しぶりにトムの笑顔見た。最近ずっと暗い顔してたから心配してたんだよ」「そうなの？ ごめんね、心配かけて」," đã lâu rồi không thấy Tom cười . gần đây vẻ mặt của Tom suốt ngày ủ rũ nên tôi thấy lo lắm .  "" vậy à ? xin lỗi đã làm bạn lo lắng "" ."
だけど、ここではそんなに簡単ではないんです。,"nhưng ở đây , không dễ dàng như vậy đâu ."
あなたはどれくらいの睡眠時間が必要ですか。,bạn cần bao nhiêu tiếng đồng hồ để ngủ vậy ?
そのうわさは本当だと思う。,tôi nghĩ tin đồn đó là thật .
何ですか。,cái gì thế ?
和子さんはお姉さんによく似ています。,anh / chị Kazuko rất giống với chị của anh / chị ấy .
父は上手に英語を話します。,cha tôi nói tiếng Anh giỏi .
私が駅を出た時、男の人を見た。,"khi tôi ra khỏi ga xe lửa , tôi gặp một gã đàn ông ."
あなたは大学で何を勉強したいのですか。,bạn muốn học gì ở trường đại học .
友達も家族も皆死んでしまっています。,bạn bè và người thân của tôi đã qua đời hết .
母は家族の中で最も忙しい。,mẹ tôi là người bận nhất trong nhà .
何？,cái gì ?
彼女の父は心臓病で病人になってしまった。,cha của cô ấy trở thành người tàn tật sau cơn đau tim .
あまりの暑さに我々は長く歩けなかった。,trời rất nóng nên chúng ta không thể đi bộ lâu được .
野菜を食べたら？,sao không ăn rau vậy ?
自由について私に話したかったの？,bạn muốn nói với tôi về sự tự do hả ?
何が言いたいのか分からないなあ。,tôi không biết ý của bạn là gì .
私は動物園へ行った。,tôi đã tới vườn thú .
なぜそんなことを私に話したか。,tại sao anh kể điều đó với tôi ?
彼は車に轢かれた。,anh ta đã bị xe cán .
君は僕をいらいらさせる。,mày làm tao tức quá !
あなたの忠告がなかったら、私は成功しなかっただろう。,không nhờ có lời khuyên của bạn thì có lẽ tôi đã chẳng thành công .
隣に住んでるのに、彼は私たちにあいさつさえしない。,"mặc dù nhà gần nhau , anh ta chưa từng chào hỏi chúng tôi ."
とにかく落ち着いて。,dù sao thì hãy cứ bình tĩnh .
列車で出勤しますか？,bạn có thể đến văn phòng bằng xe hỏa không ?
その少女はサンタクロースがいると今も信じている。,cô ấy vẫn còn tin vào ông già Noel .
１００万人の人々がその戦争で命を落とした。,một triệu người đã ngã xuống trong cuộc chiến đó .
聞けば聞くほどますます面白くなる。,càng nghe càng thấy trở nên thú vị .
私の弟は上手にギターを弾けます。,em trai tôi chơi ghi - ta rất giỏi .
それをするより他はない。,tôi không có gì tốt hơn để làm hết .
彼は速く泳げる。,anh ta có thể bơi nhanh .
とても疲れているので、もうこれ以上歩けない。,tôi quá mệt rồi nên không đi bộ được nữa đâu .
水泳では兄といい勝負だ。,tôi có thể bơi ngang ngửa với anh tôi .
頑張ってください。,xin hãy cố gắng .
私は注目を集めたかったわけではない。,không phải là tôi đã muốn thu hút sự chú ý .
とても暑くて、車のボンネットで卵が焼けるよ。,nóng đến nỗi mà có thể luộc trứng trên nóc xe .
レッド先生が私に国語を教えてくれた。,cô Red dạy tôi tiếng Nhật .
あなたは全く間違っています。,bạn đã hoàn toàn sai lầm .
私はカメラマンです。,tôi là một nhiếp ảnh gia .
これ誰のですか？,cái này của ai vậy ?
ひさしぶりだね。また転職したんだって？,lâu rồi không gặp . tôi nghe nói bạn đã thay đổi công việc nữa hả ?
あなたがこの本の著者ですか？,bạn có phải là tác giả của cuốn sách này không ?
驚くじゃありませんか！,anh làm tôi bàng hoàng !
そこは新しい家が密集する地域だ。,khu vực đó đầy rẫy nhà mới .
彼女は、信じられないほどに世間知らずだ。,cô ta ngây thơ đến mức khó tin .
ちょっと休みたい。,tôi muốn nghỉ ngơi một chút .
起こしてくれる必要はなかったのに。,bạn không cần phải đánh thức tôi .
私は泳ぐのがとても好きだ。,tôi rất thích bơi .
この靴は私の足に合わない。,đôi dép này không vừa chân tôi .
私はジャズが好きです。,tôi thích nhạc jazz .
食事中本を読んだ。,tôi đọc sách lúc ăn cơm .
彼はボート作りの過程を説明した。,anh ấy giải thích quá trình xây dựng chiếc thuyền .
メキシコにはたくさんのスラムがある,có nhiều khu ổ chuột ở Mexico
ジョンもまたえらい選手だった。,John cũng là một tuyển thủ giỏi .
誰も来なかった。,không ai tới hết .
世界で一番多いファーストネームはモハメッドだ。,cái tên thông dụng nhất trên thế giới là Mohammed .
私とテニスをしませんか。,bạn có muốn chơi tennis với tôi không ?
同性愛者ですが何か？それが犯罪だとでも？,bị gay thì sao ? cái đó cũng là tội à ?
その地域ではまだ食料が不足している。,khu vực đó vẫn còn đang thiếu lương thực .
彼は金でメダルを作った。,anh ta tạo ra huy chương bằng vàng .
理論を実践と結び付けることが重要である。,cần phải kết hợp giữa lý thuyết và thực hành .
ブラウンさんとお話させて戴く事はできますか？,có thể cho tôi nói chuyện với ông Brown được không ?
何の話をしていたっけ？,bạn vừa nói gì ?
ジョンもまたえらい選手だった。,John cũng là một tuyển thủ giỏi .
イタリア語では何と言うのですか。,trong tiếng Ý cái đó nói thế nào ?
私は毎朝、川沿いに犬を散歩させる。,tôi dắt cho đi dạo dọc theo con sông vào mỗi sáng .
高校時代について最も後悔することを人々に尋ねると大抵の人は決まってこう言う。時間を無駄にしすぎていた、と。,khi tôi hỏi mọi người điều gì khiến họ cảm thấy tiếc nuối khi còn đi học thì phần đông đều trả lời rằng họ đã lãng phí quá nhiều thời gian .
今日は６月１８日で、ムーリエルの誕生日です！,"hôm nay là ngày 18 tháng sáu , và cũng là ngày sinh nhật của Muiriel !"
１週間に一度ここで集まりましょう。,chúng ta hãy tập hợp ở đây 1 tuần 1 lần .
君はすぐにかかりつけの医者にみてもらったほうがいい。,bạn nên gặp bác sĩ tư ngay lập tức .
わざとやったのね！,bạn cố ý làm phải không !
新聞どこ？,báo đâu ?
変ですね。,lạ nhỉ .
待って。誰かが私のドアを叩きました。,"chờ tí , có ai đang gõ cửa ."
世界で一番多いファーストネームはモハメッドだ。,cái tên thông dụng nhất trên thế giới là Mohammed .
魚は水の外では生きられない。,cá không thể sống mà không có nước .
この業界ではもう年をとりすぎている。,tôi đã quá già cho thế giới này .
我々はその計画を実行しなければならない。,chúng ta phải thực hiện kế hoạch đó .
彼女は誕生日プレゼントにアルバムをくれた。,chị ấy cho tôi một anbum ảnh làm quà sinh nhật .
生徒たちが皆拍手しました。,mọi học sinh đều vỗ tay .
私は車を運転できるが、トムはできない。,"tôi biết lái xe ô - tô , nhưng Tom thì không ."
私の趣味は買い物です。,sở thích của tôi là đi mua sắm .
彼は妻にシャツを直してもらった。,anh ta được vợ vá cái áo .
彼は毎月お金を貯金している。,anh ta gửi tiền ngân hàng hàng tháng .
私のチョコレートを食べることを考えさえしないで。,đừng nghĩ là ăn sôcôla của tôi được nghe !
あ！蝶々がいる！,"ô kìa , con bươm bướm !"
彼に何も言わなかったの？,bạn không nói với anh ấy cái gì à ?
もし世界が今の形をしていなかったら、私は誰でも信用できうる。,"nếu thế giới không như bây giờ , thì tôi có thể tin ai cũng được ."
彼は妻にシャツを直してもらった。,anh ta được vợ vá cái áo .
君にはうんざりしたよ。,tôi chán ngấy anh rồi .
犬はどこだろう？,con chó đâu rồi ?
多くの外国人が歌舞伎の良さがわかります。,nhiều người nước ngoài có thể đánh giá cao Kabuki .
君はすぐに始めた方がよい。,bạn tốt hơn là nên bắt đầu liền đi .
女王様が長生きされますように。,đức nữ hoàng muôn năm !
彼女は背が低すぎて塀の向こうがみえなかった。,cô ta quá lùn nên không nhìn qua hàng rào được .
彼はボート作りの過程を説明した。,anh ấy giải thích quá trình xây dựng chiếc thuyền .
イギリスには左側に通行します。,"bên Anh Quốc , người ta đi bên trái ."
私の特技は、いつでもどこでも誰とでも友達になれちゃうことなの。,"khả năng đặc biệt của tôi là có thể làm bạn với bất kỳ ai ở mọi lúc , mọi nơi ."
私には父親が手品師をしている友人がいます。,tôi có một người bạn có bố là ảo thuật gia .
元気そうだね。,bạn trông khỏe nhỉ .
新しい校舎は村の誇りだ。,ngôi trường mới xây là niềm tự hào của xã .
医者に相談した方がいいよ。,bạn nên nhờ bác sỹ tư vấn thì hơn .
私は毎朝、川沿いに犬を散歩させる。,tôi dắt cho đi dạo dọc theo con sông vào mỗi sáng .
雨は間もなくやむでしょう。,sẽ tạnh mưa sớm thôi .
とにかく原因を調べなければならない。,"dù sao đi nữa , chúng tôi đã điều tra nguyên nhân ."
このスープの味はどうですか。,súp có ngon không ?
わたしがいなくて淋しいと思った？,có nhớ tôi không ?
声変だよ。どうしたの？,sao giọng bạn nghe lạ vậy . bạn bị sao à ?
今度はあなたが運転する番だ。,lần này đến lượt bạn lái .
来年で彼は１０年パリに住んでいることになる。,năm tới đánh dấu 10 năm anh ta sống ở Paris .
人は健康には気をつけねばならない。,mình nên tự lo cho bản thân mình .
その番組は１週間おきに放送される。,chương trình đó được phát mỗi tuần .
先週中国語を習い始めました。,tuần trước tôi mới bắt đầu học tiếng Trung quốc .
何？,cái gì ?
面接はうまくいきました！,tôi đã thể hiện rất tốt ở buổi phỏng vấn !
禁煙席をお願いします。,xin cho tôi ghế không hút thuốc
大抵の人は僕を気違いだと思っている。,phần nhiều người ta nghĩ tôi điên .
この本はとてもやさしいので子供でも読める。,bởi vì cuốn sách này rất dễ cho nên ngay cả trẻ con cũng có thể đọc được .
日本経済は急速に成長した。,kinh tế Nhật Bản đang phát triển nhanh chóng .
わが国は海産物に恵まれている。,đất nước chúng tôi giàu hải sản .
残念ながらそれは本当なのです。,tiếc rằng cái đó là sự thật .
彼は変わった人だ。,anh ta là một người kỳ lạ .
元気？,Khỏe không ?
彼は牛と馬を飼育している。,anh ta nuôi bò và ngựa .
その俳優がとても才能があることについては、あなたと同じ意見です。,tôi đồng ý với bạn diễn viên đó rất tài năng .
こんな無意味な口論は、直ちにやめにしよう。,chúng ta nên dừng cuộc tranh cãi vô nghĩa này .
私はあなたに本当の事を話そう。,tôi định sẽ nói với anh sự thật
ちょっと疲れてしまって。,tôi hơi mệt .
あなたはその切符を買うために、列に並ばなければなりません。,bạn phải xếp hàng để mua vé .
ちょっと休みたい。,tôi muốn nghỉ ngơi một chút .
君が側にいてくれれば何もいらない。,có em bên cạnh thì bây giờ mọi thứ đều ổn cả rồi .
私は、あなたは彼女のことを好きだと思う。,mình nghĩ cậu thích cô ấy .
ある日曜日の朝、ジョージは自宅の居間に乱入するやいなやこう言った。,"một buổi sáng Chủ Nhật , Josh xâm nhập vào phòng khách nhà người ta và nói những điều ấy ."
彼の話し方は、女みたいだ。,cách nói chuyện của anh ta giống như đàn bà .
昨年ロンドンへ行きました。,chúng mình đi qua London năm vừa rồi
ちょっとお父さん！これはどういうこと？！誰もいないはずだと言ったのに。,ba ! vậy là sao ! sao ba bảo sẽ không có ai mà .
彼は危うく溺死するところだった。,anh ấy suýt chút nữa thì chết đuối .
考えをもつことはいいことだ..そう思わない？,có lý tưởng là điều tốt ... bạn nghĩ sao ?
彼の批判は犬の遠吠えだ。,anh ta chỉ có thể phê bình những người khác đằng sau lưng .
空は青い。,trời xanh .
私はときどき彼女から電話をもらう。,tôi thỉnh thoảng nhận được một cuộc gọi từ cô ấy .
私はこの三倍の大きさの箱が欲しい。,tôi muốn cái hộp lớn ba lần so với cái này .
あなたはいつからラテン語を勉強しましたか。,anh học tiếng La - tinh từ bao giờ ?
彼はその薬を飲んだためにかえっていっそう病気が悪くなった。,uống thuốc xong bệnh tình anh ta ngược lại còn xấu đi nhiều .
１１時になっているよ。,đã mười một giờ rồi .
私は泳ぐのがとても好きだ。,tôi rất thích bơi .
これを試着してもいいですか。,tôi mặc thử đồ này được không ?
今週はずっと大変忙しい。,tuần này tôi rất bận .
殺害の動機は明らかではない。,động cơ của vụ án mạng chưa được làm rõ .
来年で彼は１０年パリに住んでいることになる。,năm tới đánh dấu 10 năm anh ta sống ở Paris .
その老人はかしこくて人生について多くを知っている。,"cụ ông đó là người khôn ngoan , biết rất nhiều về cuộc sống nhân sinh ."
ここに来な。,lại đây nào .
彼女は料理がうまいそうだ。,nghe nói anh ta nấu ăn khá ngon .
僕が最後に自分の考えを伝えた人は、僕を気違いだと思ったようだ。,người trước tôi nói ý kiến với tưởng tôi điên .
「洞穴の中で何が起こっているんだろう？すごく知りたいなあ」　「見当もつかないよ」," trong hang đang xảy ra chuyện gì vậy ? tôi rất là tò mò .  "" tôi cũng không biết nữa . """
彼女は赤い服を着ていた。,cô ấy mặc đồ đỏ .
雨が降っていて、子供たちは庭で遊べない。,"trời đang mưa , trẻ con không thể ra ngoài sân chơi ."
私の願いはかなえられた。,lời cầu nguyện của tôi đã được đáp lại .
小川がさらさらと流れる音が聞こえる。,dòng sông nhỏ chảy róc rách .
金持ちかどうかどうでもいいって！,tôi đã bảo giàu có hay không không quan trọng rồi !
あいにく私はお金を持っていない。,rất tiếc là tôi không mang tiền .
君はそんなマニアックな古い車を運転しているのかい！,bạn đang lái xe cứ như một kẻ điên vậy !
その少年は大人のような口の利き方をする。,thằng bé ấy nói chuyện như người lớn .
母親がドアをノックした。,mẹ của anh ta gõ cửa .
彼女は行かないことに決めた。,cô ta quyết định không đi .
Tomさんは直ぐにあなたに事務所であいたがっている。,Tom muốn gặp cậu trong văn phòng ngay lập tức .
そのことを後悔しながら余生を送りたくない。,tôi không muốn cả đời hối tiếc vì chuyện này .
彼の才能にもかかわらず、彼はあいかわらず、無名だ。,mặc dù có tài anh ta vẫn là người vô danh .
その知らせに彼女は青ざめた。,"lúc nghe được tin đó , mặt cô ấy tái xanh ."
火災報知器が鳴った。,chuông báo cháy đã vang lên .
答えが分かったんだ、でもあまりにすぐに分かったものだから正解であるはずがないんだ。,"tôi đã tìm ra cách , nhưng mà tìm ra nhanh thế này thì chắc hẳn đó không phải là cách hay rồi ."
いいえ、手伝いませんでした。,"không , tôi chưa hề giúp ."
星が空に瞬いていた。,các vì sao đang lấp lánh trên bầu trời .
私の母はあまり英語が上手に話せない。,mẹ của tôi không nói tiếng Anh giỏi lắm .
また明日。,mai gặp lại nhé .
しかし、逆もまた真である。,"nhưng , sự trái ngược cũng luôn luôn có lý ."
彼女は行かないことに決めた。,cô ta quyết định không đi .
あまりにたくさんの仕事があるので、私はもう１時間います。,"tôi còn nhiều việc phải làm quá , chắc phải ở lại thêm một tiếng đồng hồ nữa ."
愛してる。,anh phải lòng em .
何が問題なの？,vấn đề ở đâu ?
私は彼がコンサートで歌うのを聞いた。,tôi nghe anh ta hát ở buổi biểu diễn ở nhà hát .
昨日は私の誕生日でした。,hôm qua là sinh nhật của tôi .
逃げよう。サツが来てる。,mau rời khỏi đây . cảnh sát tới bây giờ .
彼は仕事中の事故でケガをした。,anh ta bị thương trong khi làm việc
日本経済は急速に成長した。,kinh tế Nhật Bản đang phát triển nhanh chóng .
その男は太りすぎていて１人では動けなかった。,anh ta quá mập nên không thể tự mình di chuyển .
ひさしぶりだね。また転職したんだって？,lâu rồi không gặp . tao nghe nói mày đã thay đổi công việc nữa hả ?
もし２、３分お許しいただければ、電話をかけたいのですが。,"nếu anh không phiền đợi 2,3 phút , tôi đang cần gọi điện ."
私が話しているときは私を見て！,làm ơn nhìn mặt tôi khi nói chuyện !
先週中国語を習い始めました。,tuần trước tôi mới bắt đầu học tiếng Trung quốc .
男性は色っぽい女性が大好きなのです。,đàn ông thích phụ nữ gợi cảm .
学校は好き？,cậu có thích trường học không ?
彼はとても親切だ！,nó rất dễ thương .
やあ！元気？,Ê ! Khỏe không ?
盗みをするよりも飢え死にした方がましだ。,tôi thà chết còn hơn ăn cắp .
私が知る限り、彼はいいやつだ。,như tôi đã biết thì anh ta thật sự là một chàng trai tốt bụng .
飛行機は墜落する前に地面すれすれに飛んだ。,chiếc máy bay đã bay sát mặt trước khi nó đâm sầm xuống .
開けろ。,mở ra .
みんなあなたに会いたがってる。あなたは有名なのよ！,mọi người muốn gặp bạn vì bạn nổi tiếng !
こんな寒い日にコートなしでは出かけたくない。,tôi không muốn ra ngoài vào ngày trời lạnh thế này mà không có áo choàng .
頭痛がする。,tôi bị nhức đầu .
最前列で絵を描いている女の子は私の姪です。,cô gái đang vẽ tranh ở hàng đầu tiên là cháu gái của tôi .
裁判はお金がかかる。,công lý rất đắt .
口を開けてください！,mở miệng ra !
彼は暗いところで何か捜し物をしていた。,anh ấy vừa tìm gì đó trong bóng tối .
これは私の血ではない。すべて相手の返り血だ。私の身体には傷ひとつない。,đây không phải là máu của tôi mà là của đối thủ . trên người tôi không có một vết thương nào cả .
私は海の近くに住んでいるのでよく海岸に行きます。,tôi ở gần biển cho nên có nhiều cơ hội đi ra biển chơi .
家に帰りましょうか。,sao mình không đi về đi ?
彼女はどうしても自分の思い通りにしようとする。,cô ta nhất định phải làm theo ý mình .
彼の話はみんなを楽しませた。,câu chuyện của anh ta đã làm mọi người thích thú .
私は自由だと感じている。,tôi cảm thấy mình rất tự do .
バイクはいいなあ、渋滞の中でもすいすいと通り抜けられて。,xe máy tuyệt thật đấy . nó có thể luồn lách qua dòng xe kẹt cứng một cách trôi chảy .
ジョージが来るかどうか知りません。,tôi không biết George có đến hay không .
おいしいもの食べてるときが何より幸せ。,không có gì sướng bằng được ăn đồ ăn ngon .
彼女は生徒達との関係がとてもうまくいっている。,cô ấy có mối quan hệ tốt với các học sinh .
事態はわれわれの冷静な判断を必要としている。,điều quan trọng là chúng ta phải xử lý tình huống một cách bình tĩnh .
気づいてた？,bạn có để ý thấy không ?
このパソコン、ネットつながってますか？,máy tính này có kết nối internet được không ?
私が格好いいと思いますか。,bạn có nghĩ tôi ngầu không ?
私たちはそのとき急いでいた。,lúc đó chúng tôi đang rất vội .
その建物は三年前に崩壊した。,Tòa nhà đó sập đổ 3 năm trước .
星は彼女の上で輝き・・・。,những ngôi sao lấp lánh trên cô ấy ...
私は子供のころから冒険が好きだった。,từ thuở còn nhỏ tôi đã thích phiêu lưu .
しかしながら、私はあなたの御意見に賛成できません。,"mặc dù vậy , tôi không thể tán thành với ý kiến của bạn ."
